id;date_de_rembousement;credit_en_debut_periode;interet;capital
1;12/15/2022;15000;62.5;387.063456569982
1;1/16/2023;14612.93654343;60.8872355976251;388.676220972357
1;2/17/2023;14224.2603224577;59.2677513435736;390.295705226409
1;3/21/2023;13833.9646172313;57.6415192384636;391.921937331519
1;4/22/2023;13442.0426798997;56.0085111662489;393.554945403733
1;5/24/2023;13048.487734496;54.3686988937334;395.194757676249
1;6/25/2023;12653.2929768198;52.7220540700823;396.8414024999
1;7/27/2023;12256.4515743199;51.0685482263327;398.494908343649
1;8/28/2023;11857.9566659762;49.4081527749009;400.155303795081
1;9/29/2023;11457.8013621811;47.740839009088;401.822617560894
1;10/31/2023;11055.9787446202;46.0665781025843;403.496878467398
1;12/2/2023;10652.4818661528;44.3853411089701;405.178115461012
1;1/3/2024;10247.3037506918;42.6970989612159;406.866357608766
1;2/4/2024;9840.43739308305;41.0018224711794;408.561634098803
1;3/7/2024;9431.87575898425;39.299482329101;410.263974240881
1;4/8/2024;9021.61178474337;37.5900491030974;411.973407466885
1;5/10/2024;8609.63837727648;35.873493238652;413.68996333133
1;6/11/2024;8195.94841394515;34.1497850581048;415.413671511877
1;7/13/2024;7780.53474243327;32.4188947601386;417.144561809844
1;8/14/2024;7363.39018062343;30.6807924192643;418.882664150718
1;9/15/2024;6944.50751647271;28.935447985303;420.628008584679
1;10/17/2024;6523.87950788803;27.1828312828668;422.380625287115
1;11/18/2024;6101.49888260092;25.4229120108372;424.140544559145
1;12/20/2024;5677.35833804177;23.6556597418407;425.907796828141
1;1/21/2025;5251.45054121363;21.8810439217235;427.682412648259
1;2/22/2025;4823.76812856537;20.0990338690224;429.46442270096
1;3/26/2025;4394.30370586441;18.3095987744351;431.253857795547
1;4/27/2025;3963.04984806887;16.5127077002869;433.050748869695
1;5/29/2025;3529.99909919917;14.7083295799965;434.855126989986
1;6/30/2025;3095.14397220918;12.8964332175383;436.667023352444
1;8/1/2025;2658.47694885674;11.0769872869031;438.486469283079
1;9/2/2025;2219.99047957366;9.24996033155692;440.313496238425
1;10/4/2025;1779.67698333524;7.41532076389682;442.148135806085
1;11/5/2025;1337.52884752915;5.57303686470479;443.990419705277
1;12/7/2025;893.538427823873;3.72307678259947;445.840379787383
1;1/8/2026;447.698048036491;1.86540853348538;447.698048036497
